"proyek","kode_kavling","luas_bangunan_m2","luas_tanah_m2","id_kavling","progres_bangun"
"Marison Regency Jepara 2","AA01","30","65","Marison Regency Jepara 2-AA01","BELUM SPK"
"Marison Regency Jepara 2","AA02","30","84","Marison Regency Jepara 2-AA02","BELUM SPK"
"Marison Regency Jepara 2","AA03","30","60","Marison Regency Jepara 2-AA03","100%"
"Marison Regency Jepara 2","AA04","30","60","Marison Regency Jepara 2-AA04","100%"
"Marison Regency Jepara 2","AA05","30","60","Marison Regency Jepara 2-AA05","100%"
"Marison Regency Jepara 2","AA06","30","63","Marison Regency Jepara 2-AA06","100%"
"Marison Regency Jepara 2","AB01","30","60","Marison Regency Jepara 2-AB01","100%"
"Marison Regency Jepara 2","AB02","30","60","Marison Regency Jepara 2-AB02","100%"
"Marison Regency Jepara 2","AB03","30","86","Marison Regency Jepara 2-AB03","100%"
"Marison Regency Jepara 2","AB04","30","60","Marison Regency Jepara 2-AB04","100%"
"Marison Regency Jepara 2","AB05","30","60","Marison Regency Jepara 2-AB05","100%"
"Marison Regency Jepara 2","AB06","30","60","Marison Regency Jepara 2-AB06","BELUM SPK"
"Marison Regency Jepara 2","AB07","30","77","Marison Regency Jepara 2-AB07","75%"
"Marison Regency Jepara 2","AB08","30","71","Marison Regency Jepara 2-AB08","75%"
"Marison Regency Jepara 2","AB09","30","60","Marison Regency Jepara 2-AB09","75%"
"Marison Regency Jepara 2","AB10","30","70","Marison Regency Jepara 2-AB10","75%"
"Marison Regency Jepara 2","AB11","30","77","Marison Regency Jepara 2-AB11","90%"
"Marison Regency Jepara 2","AB12","30","73","Marison Regency Jepara 2-AB12","90%"
"Marison Regency Jepara 2","D18","30","60","Marison Regency Jepara 2-D18","99%"
"Marison Regency Jepara 2","D19","30","60","Marison Regency Jepara 2-D19","99%"
"Marison Regency Jepara 2","D20","30","60","Marison Regency Jepara 2-D20","99%"
"Marison Regency Jepara 2","D21","30","60","Marison Regency Jepara 2-D21","99%"
"Marison Regency Jepara 2","D22","30","60","Marison Regency Jepara 2-D22","99%"
"Marison Regency Jepara 2","D23","30","60","Marison Regency Jepara 2-D23","99%"
"Marison Regency Jepara 2","D24","30","60","Marison Regency Jepara 2-D24","99%"
"Marison Regency Jepara 2","D25","30","60","Marison Regency Jepara 2-D25","95%"
