id_kavling,id_psjb,id_berkas,tanggal_terima_bank,bank,kc/unit,request_plafond,request_tenor,tipe_pemberkasan,lead_time_hari,status,keterangan
"Marison Regency Jepara 2-AA03","Data Belum Lengkap",250326-REG-Lengkap,3/26/2025,BSN,Kudus,"Rp160,340,000","15 tahun",registrasi,184,terlambat,
"Marison Regency Jepara 2-AA04","Data Belum Lengkap",260129-REG-Lengkap,1/29/2026,BSN,Kudus,"Rp160,340,000","20 tahun",registrasi,2,ontime,
"Marison Regency Jepara 2-AA05","Data Belum Lengkap",251009-REG-Lengkap,10/9/2025,BTN,Kudus,"Rp160,340,000","20 tahun",registrasi,5,terlambat,
"Marison Regency Jepara 2-AB01","Data Belum Lengkap",251212-REG-Lengkap,12/12/2025,BSN,Kudus,"Rp160,340,000","20 tahun",registrasi,1,ontime,
"Marison Regency Jepara 2-AB08","Data Belum Lengkap",260204-REG-Lengkap,2/4/2026,BSN,Kudus,"Rp160,340,000","15 tahun",registrasi,3,ontime,
"Marison Regency Jepara 2-AB09","Data Belum Lengkap",251230-REG-Lengkap,12/30/2025,BTN,Jepara,"Rp160,340,000","10 tahun",registrasi,2,ontime,
"Marison Regency Jepara 2-AB10","Data Belum Lengkap",251029-REG-Lengkap,10/29/2025,BSN,Kudus,"Rp160,340,000","20 tahun",registrasi,2,ontime,
"Marison Regency Jepara 2-D29","Data Belum Lengkap",251230-REG-Lengkap,12/30/2025,BSN,Kudus,"Rp160,340,000","15 tahun",registrasi,1,ontime,
"Marison Regency Jepara 2-D32","Data Belum Lengkap",251212-REG-Lengkap,12/12/2025,BTN,Jepara,"Rp160,340,000","20 tahun",registrasi,0,ontime,
"Marison Regency Jepara 2-D35","Data Belum Lengkap",251212-REG-Lengkap,12/12/2025,BTN,Jepara,"Rp160,340,000","20 tahun",registrasi,1,ontime,
"Marison Regency Jepara 2-D36","Data Belum Lengkap",260105-REG-Lengkap,1/5/2026,BSN,Kudus,"Rp160,340,000","20 tahun",registrasi,1,ontime,
"Marison Regency Jepara 2-D37","Data Belum Lengkap",251127-REG-Lengkap,11/27/2025,BTN,Jepara,"Rp160,340,000","15 tahun",registrasi,1,ontime,
"Marison Regency Jepara 2-E29","Data Belum Lengkap",251202-REG-Lengkap,12/2/2025,BTN,Jepara,"Rp160,340,000","12 tahun",registrasi,1,ontime,
"Marison Regency Jepara 2-E30","Data Belum Lengkap",260220-REG-Lengkap,2/20/2026,BSN,Jepara,"Rp160,340,000","15 tahun",registrasi,1,ontime,
"Marison Regency Jepara 2-E31",,,CASH,CASH,CASH,CASH,CASH,CASH,0,ontime,
"Marison Regency Jepara 2-E33","Data Belum Lengkap",250821-REG-Lengkap,8/21/2025,BSN,Kudus,"Rp160,340,000","15 tahun",registrasi,1,ontime,
"Marison Regency Kuwasen-A01","Data Belum Lengkap",CASH-CAS-Lengkap,CASH,CASH,CASH,CASH,CASH,CASH,0,ontime,
"Marison Regency Kuwasen-A02","Data Belum Lengkap",CASH-CAS-Lengkap,CASH,CASH,CASH,CASH,CASH,CASH,0,ontime,
"Marison Regency Kuwasen-A03","Data Belum Lengkap",250619-REG-Lengkap,6/19/2025,BSN,Kudus,"Rp160,340,000","10 tahun",registrasi,39,terlambat,
"Marison Regency Kuwasen-A04","Data Belum Lengkap",CASH-CAS-Lengkap,CASH,CASH,CASH,CASH,CASH,CASH,0,ontime,
"Marison Regency Kuwasen-A05","Data Belum Lengkap",CASH-CAS-Lengkap,CASH,CASH,CASH,CASH,CASH,CASH,0,ontime,
"Marison Regency Kuwasen-A06","Data Belum Lengkap",CASH-CAS-Lengkap,CASH,CASH,CASH,CASH,CASH,CASH,0,ontime,
"Marison Regency Kuwasen-A07","Data Belum Lengkap",250813-REG-Lengkap,8/13/2025,BSN,Kudus,"Rp160,340,000","20 tahun",registrasi,1,ontime,
"Marison Regency Kuwasen-A08","Data Belum Lengkap",250728-REG-Lengkap,7/28/2025,BSN,Kudus,"Rp160,340,000","15 tahun",registrasi,250,terlambat,
"Marison Regency Kuwasen-A09","Data Belum Lengkap",CASH-CAS-Lengkap,CASH,CASH,CASH,CASH,CASH,CASH,0,ontime,
"Marison Regency Kuwasen-A10","Data Belum Lengkap",CASH-CAS-Lengkap,CASH,CASH,CASH,CASH,CASH,CASH,0,ontime,
"Marison Regency Kuwasen-A11","Data Belum Lengkap",250807-REG-Lengkap,8/7/2025,"BANK BRI",Jepara,"Rp160,340,000","15 tahun",registrasi,1,ontime,
"Marison Regency Kuwasen-A12","Data Belum Lengkap",250619-REG-Lengkap,6/19/2025,BSN,Kudus,"Rp160,340,000","15 tahun",registrasi,40,terlambat,
"Marison Regency Kuwasen-A13","Data Belum Lengkap",CASH-CAS-Lengkap,CASH,CASH,CASH,CASH,CASH,CASH,0,ontime,
"Marison Regency Kuwasen-A14","Data Belum Lengkap",250930-REG-Lengkap,9/30/2025,BTN,Jepara,"Rp160,340,000","20 tahun",registrasi,5,terlambat,
"Marison Regency Kuwasen-A15","Data Belum Lengkap",250619-REG-Lengkap,6/19/2025,BSN,Kudus,"Rp160,340,000","20 tahun",registrasi,12,terlambat,
"Marison Regency Kuwasen-A16","Data Belum Lengkap",CASH-CAS-Lengkap,CASH,CASH,CASH,CASH,CASH,CASH,0,ontime,
"Marison Regency Kuwasen-A17","Data Belum Lengkap",CASH-CAS-Lengkap,CASH,CASH,CASH,CASH,CASH,CASH,0,ontime,
"Marison Regency Kuwasen-A18","Data Belum Lengkap",CASH-CAS-Lengkap,CASH,CASH,CASH,CASH,CASH,CASH,0,ontime,
"Marison Regency Kuwasen-A19","Data Belum Lengkap",250619-REG-Lengkap,6/19/2025,"BANK JATENG",Bangsri,"Rp160,340,000","15 tahun",registrasi,51,terlambat,
"Marison Regency Kuwasen-B03","Data Belum Lengkap",250626-REG-Lengkap,6/26/2025,BSN,Kudus,"Rp160,340,000","15 tahun",registrasi,89,terlambat,
"Marison Regency Kuwasen-B04","Data Belum Lengkap",250715-REG-Lengkap,7/15/2025,"BANK BRI",Jepara,"Rp160,340,000","15 tahun",registrasi,3,ontime,
"Marison Regency Kuwasen-B05","Data Belum Lengkap",250724-REG-Lengkap,7/24/2025,BSN,Kudus,"Rp160,340,000","15 tahun",registrasi,2,ontime,
"Marison Regency Kuwasen-B06","Data Belum Lengkap",250703-REG-Lengkap,7/3/2025,BTN,Kudus,"Rp160,340,000","10 tahun",registrasi,1,ontime,
"Marison Regency Kuwasen-B07","Data Belum Lengkap",250729-REG-Lengkap,7/29/2025,BSN,Kudus,"Rp160,340,000","20 tahun",registrasi,1,ontime,
"Marison Regency Kuwasen-B08","Data Belum Lengkap",250619-REG-Lengkap,6/19/2025,BSN,Kudus,"Rp160,340,000","15 tahun",registrasi,47,terlambat,
"Marison Regency Kuwasen-B09","Data Belum Lengkap",250619-REG-Lengkap,6/19/2025,BSN,Kudus,"Rp160,340,000","15 tahun",registrasi,5,terlambat,
"Marison Regency Kuwasen-B10","Data Belum Lengkap",250619-REG-Lengkap,6/19/2025,BSN,Kudus,"Rp160,340,000","15 tahun",registrasi,59,terlambat,
"Marison Regency Kuwasen-B11","Data Belum Lengkap",250716-REG-Lengkap,7/16/2025,BTN,Jepara,"Rp160,340,000","20 tahun",registrasi,57,terlambat,
"Marison Regency Kuwasen-B12","Data Belum Lengkap",251114-REG-Lengkap,11/14/2025,BNI,Jepara,"Rp160,340,000","15 tahun",registrasi,9,terlambat,
"Marison Regency Kuwasen-B13","Data Belum Lengkap",251016-REG-Lengkap,10/16/2025,BSN,Kudus,"Rp160,340,000","15 tahun",registrasi,3,ontime,
"Marison Regency Kuwasen-B14","Data Belum Lengkap",251015-REG-Lengkap,10/15/2025,BTN,Jepara,"Rp160,340,000","15 tahun",registrasi,11,terlambat,
"Marison Regency Kuwasen-B15","Data Belum Lengkap",250924-REG-Lengkap,9/24/2025,BTN,Jepara,"Rp160,340,000","15 tahun",registrasi,3,ontime,
"Marison Regency Kuwasen-B16","Data Belum Lengkap",250805-REG-Lengkap,8/5/2025,BSN,Kudus,"Rp160,340,000","10 tahun",registrasi,1,ontime,
"Marison Regency Kuwasen-B17","Data Belum Lengkap",250908-REG-Lengkap,9/8/2025,BTN,Kudus,"Rp160,340,000","20 tahun",registrasi,4,terlambat,
"Marison Regency Kuwasen-B18","Data Belum Lengkap",251117-REG-Lengkap,11/17/2025,BTN,Jepara,"Rp160,340,000","17 tahun",registrasi,6,terlambat,
"Marison Regency Kuwasen-B19","Data Belum Lengkap",251209-REG-Lengkap,12/9/2025,BTN,Jepara,"Rp160,340,000","20 tahun",registrasi,31,terlambat,
"Marison Regency Kuwasen-B20","Data Belum Lengkap",250619-REG-Lengkap,6/19/2025,BSN,Kudus,"Rp160,340,000","20 tahun",registrasi,73,terlambat,
"Marison Regency Kuwasen-C01","Data Belum Lengkap",250812-REG-Lengkap,8/12/2025,BSN,Kudus,"Rp160,340,000","15 tahun",registrasi,3,ontime,
"Marison Regency Kuwasen-C02","Data Belum Lengkap",250715-REG-Lengkap,7/15/2025,BSN,Kudus,"Rp160,340,000","15 tahun",registrasi,5,terlambat,
"Marison Regency Kuwasen-C03","Data Belum Lengkap",250912-REG-Lengkap,9/12/2025,BSN,Kudus,"Rp160,340,000","15 tahun",registrasi,4,terlambat,
"Marison Regency Kuwasen-C04","Data Belum Lengkap",250709-REG-Lengkap,7/9/2025,BSN,Kudus,"Rp160,340,000","20 tahun",registrasi,2,ontime,
"Marison Regency Kuwasen-C05","Data Belum Lengkap",251009-REG-Lengkap,10/9/2025,BSN,Kudus,"Rp160,340,000","15 tahun",registrasi,4,terlambat,
"Marison Regency Kuwasen-C06","Data Belum Lengkap",250929-REG-Lengkap,9/29/2025,BTN,Jepara,"Rp160,340,000","20 tahun",registrasi,9,terlambat,
"Marison Regency Kuwasen-C07","Data Belum Lengkap",CASH-CAS-Lengkap,CASH,CASH,CASH,CASH,CASH,CASH,0,ontime,
"Marison Regency Kuwasen-C08","Data Belum Lengkap",250826-REG-Lengkap,8/26/2025,BTN,Jepara,"Rp160,340,000","20 tahun",registrasi,1,ontime,
"Marison Regency Kuwasen-C09","Data Belum Lengkap",250804-REG-Lengkap,8/4/2025,BSN,Kudus,"Rp160,340,000","15 tahun",registrasi,1,ontime,
"Marison Regency Kuwasen-C10","Data Belum Lengkap",250721-REG-Lengkap,7/21/2025,BSN,Kudus,"Rp160,340,000","20 tahun",registrasi,60,terlambat,
"Marison Regency Kuwasen-C11","Data Belum Lengkap",250619-REG-Lengkap,6/19/2025,BSN,Kudus,"Rp160,340,000","20 tahun",registrasi,38,terlambat,
"Marison Regency Kuwasen-C12","Data Belum Lengkap",251121-REG-Lengkap,11/21/2025,BTN,Jepara,"Rp160,340,000","20 tahun",registrasi,2,ontime,
"Marison Regency Kuwasen-C13","Data Belum Lengkap",251021-REG-Lengkap,10/21/2025,BTN,Jepara,"Rp160,340,000","20 tahun",registrasi,1,ontime,
"Marison Regency Kuwasen-C14","Data Belum Lengkap",251008-REG-Lengkap,10/8/2025,BSN,Kudus,"Rp160,340,000","10 tahun",registrasi,3,ontime,
"Marison Regency Kuwasen-C15","Data Belum Lengkap",251013-REG-Lengkap,10/13/2025,BTN,Jepara,"Rp160,340,000","15 tahun",registrasi,2,ontime,
"Marison Regency Kuwasen-C16","Data Belum Lengkap",251021-REG-Lengkap,10/21/2025,BTN,Jepara,"Rp160,340,000","10 tahun",registrasi,11,terlambat,
"Marison Regency Kuwasen-C17","Data Belum Lengkap",251007-REG-Lengkap,10/7/2025,BSN,Kudus,"Rp160,340,000","20 tahun",registrasi,1,ontime,
"Marison Regency Kuwasen-C18","Data Belum Lengkap",251015-REG-Lengkap,10/15/2025,BTN,Jepara,"Rp160,340,000","18 tahun",registrasi,1,ontime,
"Marison Regency Kuwasen-C19","Data Belum Lengkap",250619-REG-Lengkap,6/19/2025,BSN,Kudus,"Rp160,340,000","10 tahun",registrasi,32,terlambat,
"Marison Regency Kuwasen-C20","Data Belum Lengkap",250619-REG-Lengkap,6/19/2025,BSN,Kudus,"Rp160,340,000","7 tahun",registrasi,37,terlambat,
"Marison Regency Kuwasen-D01","Data Belum Lengkap",CASH-CAS-Lengkap,CASH,CASH,CASH,CASH,CASH,CASH,0,ontime,
"Marison Regency Kuwasen-D02","Data Belum Lengkap",250815-REG-Lengkap,8/15/2025,BSN,Kudus,"Rp160,340,000","20 tahun",registrasi,4,terlambat,
"Marison Regency Kuwasen-D03","Data Belum Lengkap",250922-REG-Lengkap,9/22/2025,BTN,Jepara,"Rp160,340,000","20 tahun",registrasi,1,ontime,
"Marison Regency Kuwasen-D04","Data Belum Lengkap",251121-REG-Lengkap,11/21/2025,BTN,Jepara,"Rp160,340,000","15 tahun",registrasi,39,terlambat,
"Marison Regency Kuwasen-D05","Data Belum Lengkap",251017-REG-Lengkap,10/17/2025,BTN,Jepara,"Rp160,340,000","20 tahun",registrasi,4,terlambat,
