id_kavling,no_ppjb_akad,no_bast,tanggal_bast,lead_time_hari,status,keterangan
"Marison Regency Jepara 2-AA03",250927/AD/AA03,SEP25-AA03,9/27/2025,107,terlambat,"Sempat mundur, lalu pindah kavling, dan sp3k update pindah kavling di tgl 25 september 2025"
"Marison Regency Jepara 2-AA04",260220/AS/AA04,FEB26-AA04,2/20/2026,3,terlambat,
"Marison Regency Jepara 2-AA05",251107/AS/AA05,NOV25-AA05,11/7/2025,11,terlambat,"Menunggu KEPMEN"
"Marison Regency Jepara 2-AB08",260218/AK/AB08,FEB26-AB08,2/18/2026,1,ontime,
"Marison Regency Jepara 2-AB09",260109/AS/AB09,JAN26-AB09,1/9/2026,2,terlambat,
"Marison Regency Jepara 2-AB10",251224/AD/AB10,DEC25-AB10,12/24/2025,5,terlambat,"Menunggu KEPMEN, jarak ppjb ke akad jauh krn dibuatkan ppjb sebelum sp3k"
"Marison Regency Jepara 2-D29",260123/AS/D29,JAN26-D29,1/23/2026,4,terlambat,
"Marison Regency Jepara 2-D35",260109/AS/D35,JAN26-D35,1/9/2026,9,terlambat,"Menunggu KEPMEN"
"Marison Regency Jepara 2-D36",260206/AS/D36,FEB26-D36,2/6/2026,16,terlambat,"Menunggu memo umur"
"Marison Regency Jepara 2-D37",251209/AS/D37,DEC25-D37,12/9/2025,5,terlambat,"Menunggu memo umur"
"Marison Regency Jepara 2-E29",251222/AB/E29,DEC25-E29,12/22/2025,7,terlambat,"Menunggu KEPMEN"
"Marison Regency Jepara 2-E33",260206/AS/E33,FEB26-E33,2/6/2026,106,terlambat,"Konsumen di luar negeri"
"Marison Regency Kuwasen-A03",251027/AD/A03,OCT25-A03,10/27/2025,67,terlambat,"Bangunan Belum Ready"
"Marison Regency Kuwasen-A04",260204/AS/A04,FEB26-A04,2/4/2026,0,ontime,
"Marison Regency Kuwasen-A07",251017/AD/A07,OCT25-A07,10/17/2025,39,terlambat,"Bangunan Belum Ready"
"Marison Regency Kuwasen-A08",251021/AD/A08,OCT25-A08,10/21/2025,43,terlambat,"Bangunan Belum Ready"
"Marison Regency Kuwasen-A11",251027/AD/A11,OCT25-A11,10/27/2025,33,terlambat,"Bangunan Belum Ready"
"Marison Regency Kuwasen-A12",251024/AD/A12,OCT25-A12,10/24/2025,75,terlambat,"Bangunan Belum Ready"
"Marison Regency Kuwasen-A14",251203/AD/A14,DEC25-A14,12/3/2025,4,terlambat,"Menunggu KEPMEN"
"Marison Regency Kuwasen-A15",251105/AD/A15,NOV25-A15,11/5/2025,83,terlambat,"Bangunan Belum Ready"
"Marison Regency Kuwasen-A18",260206/AS/A18,FEB26-A18,2/6/2026,0,ontime,
"Marison Regency Kuwasen-A19",251218/AD/A19,DEC25-A19,12/18/2025,110,terlambat,"Sertifikat Belum Pecah, Bank Jateng Belum Bisa Akad"
"Marison Regency Kuwasen-B03",250815/AS/B03,AUG25-B03,8/15/2025,18,terlambat,"Menunggu covernote, dan surat komitmen pecah sertifikat"
"Marison Regency Kuwasen-B04",250823/AS/B04,AUG25-B04,8/23/2025,3,terlambat,
"Marison Regency Kuwasen-B05",250823/AS/B05,AUG25-B05,8/23/2025,3,terlambat,
"Marison Regency Kuwasen-B06",250823/AS/B06,AUG25-B06,8/23/2025,23,terlambat,"Menunggu covernote, dan surat komitmen pecah sertifikat"
"Marison Regency Kuwasen-B07",250823/AS/B07,AUG25-B07,8/23/2025,3,terlambat,
"Marison Regency Kuwasen-B08",250815/AS/B08,AUG25-B08,8/15/2025,33,terlambat,"Menunggu covernote, dan surat komitmen pecah sertifikat"
"Marison Regency Kuwasen-B09",250815/AS/B09,AUG25-B09,8/15/2025,15,terlambat,"Menunggu covernote, dan surat komitmen pecah sertifikat"
"Marison Regency Kuwasen-B10",250823/AS/B10,AUG25-B10,8/23/2025,29,terlambat,"Menunggu covernote, dan surat komitmen pecah sertifikat"
"Marison Regency Kuwasen-B11",250823/AS/B11,AUG25-B11,8/23/2025,0,ontime,"Menunggu covernote, dan surat komitmen pecah sertifikat"
"Marison Regency Kuwasen-B12",251128/AS/B12,NOV25-B12,11/28/2025,6,terlambat,"Proses PKS BNI"
"Marison Regency Kuwasen-B13",251028/AS/B13,OCT25-B13,10/28/2025,3,terlambat,
"Marison Regency Kuwasen-B14",251104/AS/B14,NOV25-B14,11/4/2025,6,terlambat,"Menunggu KEPMEN"
"Marison Regency Kuwasen-B15",251010/AS/B15,OCT25-B15,10/10/2025,1,ontime,
"Marison Regency Kuwasen-B16",250901/AS/B16,SEP25-B16,9/1/2025,9,terlambat,"Menunggu KEPMEN"
"Marison Regency Kuwasen-B17",250930/AS/B17,SEP25-B17,9/30/2025,5,terlambat,"Menunggu KEPMEN"
"Marison Regency Kuwasen-B18",251212/AS/B18,DEC25-B18,12/12/2025,5,terlambat,"Menunggu KEPMEN"
"Marison Regency Kuwasen-B19",260113/AS/B19,JAN26-B19,1/13/2026,2,terlambat,
"Marison Regency Kuwasen-B20",250826/AS/B20,AUG25-B20,8/26/2025,40,terlambat,"Menunggu covernote, dan surat komitmen pecah sertifikat"
"Marison Regency Kuwasen-C01",250823/AS/C01,AUG25-C01,8/23/2025,6,terlambat,"Menunggu covernote, dan surat komitmen pecah sertifikat"
"Marison Regency Kuwasen-C02",250823/AS/C02,AUG25-C02,8/23/2025,21,terlambat,"Menunggu covernote, dan surat komitmen pecah sertifikat"
"Marison Regency Kuwasen-C03",251017/AS/C03,OCT25-C03,10/17/2025,3,terlambat,
"Marison Regency Kuwasen-C04",250829/AS/C04,AUG25-C04,8/29/2025,14,terlambat,"Menunggu KEPMEN"
"Marison Regency Kuwasen-C05",251126/AS/C05,NOV25-C05,11/26/2025,7,terlambat,"SP3K Awal di mulyoharjo lalu pindah ke kuwasen"
"Marison Regency Kuwasen-C06",251215/AS/C06,DEC25-C06,12/15/2025,2,terlambat,
"Marison Regency Kuwasen-C08",250923/AS/C08,SEP25-C08,9/23/2025,9,terlambat,"Menunggu KEPMEN"
"Marison Regency Kuwasen-C09",251008/AS/C09,OCT25-C09,10/8/2025,40,terlambat,"nasabah bank jateng pengen akad di bank jateng, tapi belum bisa krn harus pecah sert."
"Marison Regency Kuwasen-C10",250823/AS/C10,AUG25-C10,8/23/2025,13,terlambat,"Menunggu covernote, dan surat komitmen pecah sertifikat"
"Marison Regency Kuwasen-C11",250823/AS/C11,AUG25-C11,8/23/2025,38,terlambat,"Menunggu covernote, dan surat komitmen pecah sertifikat"
"Marison Regency Kuwasen-C12",251218/AS/C12,DEC25-C12,12/18/2025,7,terlambat,"Menunggu KEPMEN"
"Marison Regency Kuwasen-C13",251114/AD/C13,NOV25-C13,11/14/2025,2,terlambat,
"Marison Regency Kuwasen-C14",251024/AS/C14,OCT25-C14,10/24/2025,4,terlambat,"Dijadwalkan akad massal"
"Marison Regency Kuwasen-C15",251027/AS/C15,OCT25-C15,10/27/2025,3,terlambat,
"Marison Regency Kuwasen-C16",251201/AD/C16,DEC25-C16,12/1/2025,25,terlambat,"Proses pembuatan surat kuasa"
"Marison Regency Kuwasen-C17",251107/AD/C17,NOV25-C17,11/7/2025,4,terlambat,"Menunggu KEPMEN"
"Marison Regency Kuwasen-C18",251112/AS/C18,NOV25-C18,11/12/2025,3,terlambat,
"Marison Regency Kuwasen-C19",250826/AS/C19,AUG25-C19,8/26/2025,32,terlambat,"Menunggu covernote, dan surat komitmen pecah sertifikat"
"Marison Regency Kuwasen-C20",250826/AS/C20,AUG25-C20,8/26/2025,32,terlambat,"Menunggu covernote, dan surat komitmen pecah sertifikat"
"Marison Regency Kuwasen-D01",250927/AS/D01,SEP25-D01,9/27/2025,0,ontime,
"Marison Regency Kuwasen-D02",251024/AS/D02,OCT25-D02,10/24/2025,5,terlambat,"Dijadwalkan akad massal"
"Marison Regency Kuwasen-D03",251010/AS/D03,OCT25-D03,10/10/2025,4,terlambat,"Menunggu KEPMEN"
"Marison Regency Kuwasen-D04",251218/AS/D04,DEC25-D04,12/18/2025,11,terlambat,"Menunggu KEPMEN"
